Repository URL,Country code,CORE ID,OpenDOAR ID,ROAR ID,Software,Version
http://pressto.amu.edu.pl,,2482,,,na,na
http://pressto.amu.edu.pl,,2483,,,na,na
http://pressto.amu.edu.pl,,2484,,,na,na
http://pressto.amu.edu.pl,,2485,,,na,na
http://pressto.amu.edu.pl,,2486,,,na,na
http://pressto.amu.edu.pl,,2487,,,na,na
http://pressto.amu.edu.pl,,2488,,,na,na
http://pressto.amu.edu.pl,,2489,,,na,na
http://pressto.amu.edu.pl,,2490,,,na,na
http://pressto.amu.edu.pl,,2491,,,na,na
http://pressto.amu.edu.pl,,2492,,,na,na
http://pressto.amu.edu.pl,,2493,,,na,na
http://pressto.amu.edu.pl,,2494,,,na,na
http://pressto.amu.edu.pl,,2495,,,na,na
http://pressto.amu.edu.pl,,2496,,,na,na
http://pressto.amu.edu.pl,,2497,,,na,na
http://pressto.amu.edu.pl,,2498,,,na,na
http://pressto.amu.edu.pl,,2499,,,na,na
http://pressto.amu.edu.pl,,2500,,,na,na
http://pressto.amu.edu.pl,,2501,,,na,na
http://pressto.amu.edu.pl,,2502,,,na,na
http://pressto.amu.edu.pl,,2503,,,na,na
http://pressto.amu.edu.pl,,2504,,,na,na
https://ejournals.epublishing.ekt.gr,GR,2505,,,open journal systems, 2.4
http://publikaciotar.repozitorium.bgf.hu,hu,2507,,11743,eprints, 3.4
http://uec.repo.nii.ac.jp,JP,2508,3204,,na,na
https://idea.library.drexel.edu,us,2510,,378,na,na
https://api.figshare.com,,2511,,11300,na,na
http://repository.hanyang.ac.kr,KR,2513,3835,,dspace, 5.5
http://repositorio.ucam.edu,ES,2514,3828,,dspace, 5.10
http://io.pwr.edu.pl,pl,2515,,12165,na,na
http://repositorio.ipvc.pt,PT,2516,3843,,dspace, 5.4
http://repo.kinu.or.kr,KR,2517,3833,,dspace, 5.5
http://kumel.medlib.dsmc.or.kr,KR,2519,3837,,dspace, 5.5
https://opus4.kobv.de,DE,2520,3839,,na,na
http://repository.pnuh.or.kr,KR,2521,3834,,dspace, 5.5
http://repositorio.ismai.pt,PT,2522,3829,,dspace, 5.2
http://bdigital.ipg.pt,PT,2523,3831,,dspace,
http://place.asburyseminary.edu,us,3457,,5291,digital commons,
http://scholars.unh.edu,us,3460,,5593,digital commons,
http://lux.lawrence.edu,us,3461,,5604,digital commons,
http://digitalcommons.bucknell.edu,us,3462,,5605,digital commons,
http://scholarship.law.berkeley.edu,us,3463,,5608,digital commons,
http://ir.lawnet.fordham.edu,us,3464,,5609,digital commons,
http://scholarship.law.marquette.edu,,3465,,5610,digital commons,
http://digitalcommons.law.scu.edu,us,3466,,5612,digital commons,
http://scholarship.law.stjohns.edu,us,3467,,5613,digital commons,
http://scholarship.law.ufl.edu,us,3468,,5614,digital commons,
http://repository.usfca.edu,us,3469,,5615,digital commons,
http://repository.uwyo.edu,us,3470,,5634,digital commons,
http://digitalcommons.bowdoin.edu,us,3472,,5650,digital commons,
http://repository.wellesley.edu,us,3473,,5651,digital commons,
http://www.ecured.cu,cu,3474,,5652,na,na
http://digitalcommons.library.umaine.edu,us,3475,,5661,dlibra,
http://commons.clarku.edu,us,3476,,5662,digital commons,
http://www.randtke.com,us,3478,,5775,na,na
http://uknowledge.uky.edu,us,3479,,5817,digital commons,
http://opus.bsz-bw.de,,3480,,5865,opus,
http://depositum.uqat.ca,ca,3481,,5893,eprints, 3.3
http://producao.usp.br,br,3482,,6120,na,na
http://hispana.mcu.es,es,3483,,5942,na,na
https://cos.bibl.th-koeln.de,de,3485,,6014,opus,
http://intellectum.unisabana.edu.co,co,3486,,6088,dspace, 6.3
http://clacaidigital.info,ar,3487,,6119,dspace, 6.0
http://repository.uinjkt.ac.id,id,3489,,6167,dspace,
http://angora.baskent.edu.tr,tr,3490,,6188,na,na
http://repository.hkbu.edu.hk,hk,3491,,6194,digital commons,
http://er.nau.edu.ua,ua,3493,,6225,dspace, 4.1
http://www.remeri.org.mx,,3494,,6229,na,na
http://sophia.stkate.edu,us,3495,,6285,digital commons,
http://repositorio.ufla.br,br,3497,,6388,dspace, 6.1
http://repositorio.colciencias.gov.co,co,3498,,6418,dspace, 6.2
http://si-pddr.si.edu,us,3500,,6428,dspace, 5.6
http://repository.polnep.ac.id,id,3501,,6455,dspace, 3.1
http://dspace.org,br,3502,,6485,dspace,
http://research-hub.griffith.edu.au,au,3503,,6507,na,na
http://saber.ucab.edu.ve,ve,474,,3974,dspace, 3.2
http://funes.uniandes.edu.co,co,475,,7032,eprints,
http://repo.eepis-its.edu,ID,476,2099,,eprints,
http://darhiv.ffzg.hr,HR,477,1458,,eprints, 3.3
http://eprints.uns.ac.id,id,478,,3574,eprints,
http://repository.sb.ipb.ac.id,ID,479,2015,,eprints, 3.3
http://tukart.ulb.tu-darmstadt.de,DE,480,2427,,eprints, 3.3
http://unipub.lib.uni-corvinus.hu,hu,481,,3633,eprints, 3.3
http://eprints.covenantuniversity.edu.ng,ng,482,,3307,eprints,
http://umu.diva-portal.org,SE,483,264,,na,na
http://tdx.cat,ES,484,296,,dspace, 5.10
http://www.julkari.fi,FI,485,2625,,dspace, 5.6
http://www.dspace.espol.edu.ec,ec,486,,431,dspace, 5.2
http://www.enssib.fr,fr,487,,142,na,na
